pred_arch
6
5
5
5
1
5
5
2
6
6
6
1
6
5
5
1
5
1
6
6
6
6
6
6
6
6
1
5
5
6
6
5
1
5
6
5
5
5
6
5
5
5
6
6
6
1
5
6
5
1
4
1
6
6
6
5
6
5
5
6
5
6
1
5
5
6
6
5
6
5
5
5
5
6
6
6
5
5
5
5
6
5
6
1
5
6
5
6
5
5
5
4
1
5
6
5
6
6
5
5
5
1
1
6
5
1
5
5
5
5
6
6
5
5
5
5
6
6
6
6
5
5
1
6
5
5
6
5
6
6
6
5
6
5
5
5
6
6
6
6
6
6
1
6
6
5
5
6
5
6
6
6
5
5
5
1
6
6
1
5
6
5
6
5
5
5
5
6
5
5
4
6
5
6
6
6
6
5
6
6
5
1
5
5
6
5
6
6
5
6
1
6
4
1
1
5
6
5
5
2
6
6
5
5
5
5
6
5
6
6
6
6
6
1
5
5
6
6
6
6
5
6
6
5
6
5
5
5
5
2
5
5
5
6
5
1
5
6
6
5
5
5
6
5
5
1
5
5
5
1
5
