instance,V1_init,V2_init,V3_init,T1_init,T2_init,T3_init,xA1_init,xA2_init,xA3_init,xB1_init,xB2_init,xB3_init,F1_init,F2_init,F3_init,Ff1_init,Ff2_init,FR_init,Q1_init,Q2_init,Q3_init,V1_sp,V2_sp,V3_sp,T1_sp,T2_sp,T3_sp,xA1_sp,xA2_sp,xA3_sp,xB1_sp,xB2_sp,xB3_sp,F1_sp,F2_sp,F3_sp,Ff1_sp,Ff2_sp,FR_sp,Q1_sp,Q2_sp,Q3_sp
283,1.3,2.0,0.81,416.2488991,410.0684219,414.7722429,0.615925691,0.57245688,0.380597622,0.374773318,0.415442519,0.598971802,20.41650612,29.74962076,14.60605694,5.569874925,9.333114635,14.8466312,693710.031,618181.5762,587734.3985,1.5,2.1,0.79,404.3529208,404.9335343,409.4369136,0.716400843,0.622008699,0.443533342,0.279264915,0.370304604,0.543465866,23.30147294,29.7067257,14.88668213,8.772018454,6.405252765,14.52945448,721017.2785,491477.0858,561878.1828
284,1.5,2.1,0.79,404.3529208,404.9335343,409.4369136,0.716400843,0.622008699,0.443533342,0.279264915,0.370304604,0.543465866,23.30147294,29.7067257,14.88668213,8.772018454,6.405252765,14.52945448,721017.2785,491477.0858,561878.1828,1.4,2.2,1.0,412.0918241,407.4099488,412.8533041,0.628271167,0.567152581,0.409844803,0.362915803,0.420496938,0.57130124,17.28341886,26.00328705,14.92812805,6.425419832,8.719868196,10.85799903,699059.1797,587783.9562,594490.0076
285,1.4,2.2,1.0,412.0918241,407.4099488,412.8533041,0.628271167,0.567152581,0.409844803,0.362915803,0.420496938,0.57130124,17.28341886,26.00328705,14.92812805,6.425419832,8.719868196,10.85799903,699059.1797,587783.9562,594490.0076,2.1,0.92,2.4,429.718752,416.5410259,421.3560339,0.40180138,0.499767227,0.296771545,0.561750243,0.470946399,0.654352888,19.24131005,27.92766861,13.36709803,4.966240852,8.686358566,14.2750692,692160.6262,596060.8325,564810.6333
286,2.1,0.92,2.4,429.718752,416.5410259,421.3560339,0.40180138,0.499767227,0.296771545,0.561750243,0.470946399,0.654352888,19.24131005,27.92766861,13.36709803,4.966240852,8.686358566,14.2750692,692160.6262,596060.8325,564810.6333,2.0,0.79,1.7,452.3075903,435.3623729,440.1429748,0.196355414,0.322291755,0.12888978,0.679811516,0.578369588,0.707496524,18.68819583,25.91346747,10.2807014,3.361954579,7.225271646,15.32624125,716283.1036,507747.8458,520360.7351
287,2.0,0.79,1.7,452.3075903,435.3623729,440.1429748,0.196355414,0.322291755,0.12888978,0.679811516,0.578369588,0.707496524,18.68819583,25.91346747,10.2807014,3.361954579,7.225271646,15.32624125,716283.1036,507747.8458,520360.7351,1.7,2.1,1.5,406.4298248,408.8062339,415.0364364,0.637690531,0.521675685,0.387805563,0.353826487,0.463213524,0.591017978,16.09585235,21.5176903,13.84444553,8.57306336,5.421837949,7.522788991,733694.8911,508978.7097,563041.3637
288,1.7,2.1,1.5,406.4298248,408.8062339,415.0364364,0.637690531,0.521675685,0.387805563,0.353826487,0.463213524,0.591017978,16.09585235,21.5176903,13.84444553,8.57306336,5.421837949,7.522788991,733694.8911,508978.7097,563041.3637,1.9,1.2,2.2,401.7032174,396.2782579,401.6600216,0.704487349,0.714202339,0.602351284,0.290623101,0.281025396,0.390434761,18.2619334,26.55190616,16.01873429,7.935294309,8.28997276,10.32663909,703066.2354,504150.23,600159.6076
289,1.9,1.2,2.2,401.7032174,396.2782579,401.6600216,0.704487349,0.714202339,0.602351284,0.290623101,0.281025396,0.390434761,18.2619334,26.55190616,16.01873429,7.935294309,8.28997276,10.32663909,703066.2354,504150.23,600159.6076,2.0,2.0,0.79,407.4257808,403.3002441,409.187865,0.592999852,0.564371367,0.448692596,0.395593941,0.422375856,0.533248524,14.68801161,22.35331827,15.10296004,7.579817269,7.66530666,7.108194345,688546.8821,513978.5516,552753.6418
290,2.0,2.0,0.79,407.4257808,403.3002441,409.187865,0.592999852,0.564371367,0.448692596,0.395593941,0.422375856,0.533248524,14.68801161,22.35331827,15.10296004,7.579817269,7.66530666,7.108194345,688546.8821,513978.5516,552753.6418,0.88,1.4,1.6,417.4313159,409.0240195,413.9476714,0.684993241,0.653599005,0.473845983,0.309275218,0.339212288,0.513556889,18.63996378,27.79106225,13.36212619,4.493948042,9.151098467,14.14601574,736287.546,613859.3575,574702.0284
291,0.88,1.4,1.6,417.4313159,409.0240195,413.9476714,0.684993241,0.653599005,0.473845983,0.309275218,0.339212288,0.513556889,18.63996378,27.79106225,13.36212619,4.493948042,9.151098467,14.14601574,736287.546,613859.3575,574702.0284,2.1,1.9,1.2,418.0377819,411.2362052,415.1405071,0.517068036,0.518396671,0.325785487,0.465406625,0.463132108,0.64394422,21.65178645,30.79523356,15.43486272,6.592599344,9.143447113,15.05918711,736295.9665,614323.7824,504981.273
292,2.1,1.9,1.2,418.0377819,411.2362052,415.1405071,0.517068036,0.518396671,0.325785487,0.465406625,0.463132108,0.64394422,21.65178645,30.79523356,15.43486272,6.592599344,9.143447113,15.05918711,736295.9665,614323.7824,504981.273,2.2,1.1,1.0,424.3676117,410.4732141,415.9420943,0.420130665,0.525880435,0.363196341,0.546047661,0.448240985,0.597749161,15.55690365,24.30056905,13.98183377,5.440496514,8.743665399,10.11640714,681957.476,540127.6439,558168.1564
