instance,V1_init,V2_init,V3_init,T1_init,T2_init,T3_init,xA1_init,xA2_init,xA3_init,xB1_init,xB2_init,xB3_init,F1_init,F2_init,F3_init,Ff1_init,Ff2_init,FR_init,Q1_init,Q2_init,Q3_init,V1_sp,V2_sp,V3_sp,T1_sp,T2_sp,T3_sp,xA1_sp,xA2_sp,xA3_sp,xB1_sp,xB2_sp,xB3_sp,F1_sp,F2_sp,F3_sp,Ff1_sp,Ff2_sp,FR_sp,Q1_sp,Q2_sp,Q3_sp
1,1.0,0.5,1.0,432.4,427.1,432.1,0.536,0.545,0.298,0.448,0.438,0.67,22.04,27.08,9.74,5.04,5.04,17.0,715000.0,580000.0,569000.0,1.8,2.3,0.89,403.3171952,401.6193608,405.8488537,0.700151177,0.634484916,0.474071754,0.294954232,0.358191784,0.514051385,22.43442994,30.89806478,16.57403393,8.391262435,8.463634846,14.0431675,690062.7264,564241.3684,548865.1163
3,1.1,0.5,1.6,401.8829877,400.7432132,408.2338802,0.762728548,0.75662506,0.672424281,0.23424865,0.240177571,0.322981321,13.46110882,17.83127887,11.55874465,7.311565464,4.37017005,6.149543351,698719.5432,504923.8919,560986.3322,1.7,1.0,2.2,408.9552807,399.9267448,405.23798,0.653192294,0.698033014,0.577473114,0.33924824,0.295612199,0.412817497,16.92104808,26.22343217,15.54819898,6.455133188,9.30238409,10.46591489,732121.6554,602680.2455,584971.61
4,1.7,1.0,2.2,408.9552807,399.9267448,405.23798,0.653192294,0.698033014,0.577473114,0.33924824,0.295612199,0.412817497,16.92104808,26.22343217,15.54819898,6.455133188,9.30238409,10.46591489,732121.6554,602680.2455,584971.61,1.4,1.3,2.1,410.375362,410.1313953,414.2516148,0.677267709,0.61817656,0.416029541,0.316846018,0.373553274,0.569010716,22.96776203,28.40035574,12.75581547,7.629977462,5.432593703,15.33778457,691809.9311,546947.5449,491474.5222
5,1.4,1.3,2.1,410.375362,410.1313953,414.2516148,0.677267709,0.61817656,0.416029541,0.316846018,0.373553274,0.569010716,22.96776203,28.40035574,12.75581547,7.629977462,5.432593703,15.33778457,691809.9311,546947.5449,491474.5222,2.5,1.8,1.4,412.8275701,411.7794186,417.4622609,0.521642073,0.477725065,0.305715285,0.461009759,0.50110785,0.662028242,20.03566725,25.80624116,14.33533916,8.789684897,5.770573914,11.24598235,686842.2177,497948.5198,615940.4053
7,1.0,1.8,1.9,445.8653973,433.0064673,440.5639059,0.291017586,0.29134393,0.147757867,0.637525637,0.63164185,0.743637009,11.29955623,18.16113323,10.33009255,3.62206537,6.861576994,7.677490862,712446.1457,590792.1606,576473.1155,1.9,2.3,2.1,403.8693458,403.113935,409.1594726,0.648188904,0.573551935,0.45915442,0.344090605,0.41501242,0.525238765,15.886122,23.33894316,15.76317742,8.45890068,7.452821166,7.427221315,704251.8931,568611.3411,592574.6632
8,1.9,2.3,2.1,403.8693458,403.113935,409.1594726,0.648188904,0.573551935,0.45915442,0.344090605,0.41501242,0.525238765,15.886122,23.33894316,15.76317742,8.45890068,7.452821166,7.427221315,704251.8931,568611.3411,592574.6632,2.2,0.65,2.2,391.7124388,387.7119314,392.1028006,0.784363631,0.815048019,0.745172876,0.213371504,0.183056206,0.2520407,20.19430124,28.78328883,18.26092273,9.878256041,8.588987589,10.3160452,708925.1559,528913.9513,530810.9505
9,2.2,0.65,2.2,391.7124388,387.7119314,392.1028006,0.784363631,0.815048019,0.745172876,0.213371504,0.183056206,0.2520407,20.19430124,28.78328883,18.26092273,9.878256041,8.588987589,10.3160452,708925.1559,528913.9513,530810.9505,0.5,2.0,1.2,396.5070465,401.9504796,407.7603645,0.875833127,0.716957316,0.584054442,0.123296127,0.279120695,0.40955042,20.17695974,24.90174143,13.57204095,9.069410246,4.724781694,11.10754949,709427.0991,535490.9285,607640.371
13,1.8,1.7,1.4,416.5658427,419.275824,425.6794273,0.502832723,0.405948081,0.253529121,0.476650843,0.563387859,0.70277307,15.37563535,19.69789051,11.85382008,7.685370224,4.322255162,7.690265121,704000.0184,531855.8248,529782.1202,2.2,2.3,0.81,410.3039083,407.9801875,413.0836931,0.583701133,0.528783462,0.358249237,0.40467138,0.455912761,0.61803808,21.16643305,28.90042743,15.98459172,8.503849018,7.733994387,12.66258403,721433.059,538216.2344,619471.5582
14,2.2,2.3,0.81,410.3039083,407.9801875,413.0836931,0.583701133,0.528783462,0.358249237,0.40467138,0.455912761,0.61803808,21.16643305,28.90042743,15.98459172,8.503849018,7.733994387,12.66258403,721433.059,538216.2344,619471.5582,1.9,1.0,1.5,400.9838523,395.8615104,401.4528428,0.692932895,0.719068325,0.627948769,0.301593036,0.276016967,0.365103248,15.81961014,23.73356174,15.63377177,7.878639579,7.913951602,7.94097056,681409.2153,572727.2859,557348.7279
15,1.9,1.0,1.5,400.9838523,395.8615104,401.4528428,0.692932895,0.719068325,0.627948769,0.301593036,0.276016967,0.365103248,15.81961014,23.73356174,15.63377177,7.878639579,7.913951602,7.94097056,681409.2153,572727.2859,557348.7279,1.3,2.1,0.7,393.2646161,393.3195537,397.1821716,0.839615287,0.767882057,0.645262606,0.159253623,0.229855085,0.35089025,25.06000442,33.16558531,17.28990604,9.495612981,8.105580889,15.56439144,686559.274,545733.3548,538045.1253
16,1.3,2.1,0.7,393.2646161,393.3195537,397.1821716,0.839615287,0.767882057,0.645262606,0.159253623,0.229855085,0.35089025,25.06000442,33.16558531,17.28990604,9.495612981,8.105580889,15.56439144,686559.274,545733.3548,538045.1253,0.88,1.1,2.4,401.781578,402.7202325,406.7960077,0.832909827,0.769569927,0.614379163,0.165824767,0.22813939,0.38118785,24.84338659,29.9911648,13.04522567,8.229720773,5.14777821,16.61366581,735035.4102,571775.7561,513399.5379
17,0.88,1.1,2.4,401.781578,402.7202325,406.7960077,0.832909827,0.769569927,0.614379163,0.165824767,0.22813939,0.38118785,24.84338659,29.9911648,13.04522567,8.229720773,5.14777821,16.61366581,735035.4102,571775.7561,513399.5379,2.0,0.61,2.3,431.6748163,418.2562114,422.9910243,0.38403737,0.494362905,0.286901403,0.574954009,0.473181712,0.658386324,18.00927215,25.32455151,11.84143386,4.790529351,7.315279364,13.2187428,690132.4808,499688.347,503660.2991
18,2.0,0.61,2.3,431.6748163,418.2562114,422.9910243,0.38403737,0.494362905,0.286901403,0.574954009,0.473181712,0.658386324,18.00927215,25.32455151,11.84143386,4.790529351,7.315279364,13.2187428,690132.4808,499688.347,503660.2991,1.7,2.1,1.6,410.1259612,417.8445157,424.3992397,0.598471167,0.435096191,0.271539281,0.390040097,0.540879067,0.693012464,18.81335958,22.42578931,12.89508614,9.469532938,3.61242973,9.343826641,715593.2314,582028.4331,617376.8185
19,1.7,2.1,1.6,410.1259612,417.8445157,424.3992397,0.598471167,0.435096191,0.271539281,0.390040097,0.540879067,0.693012464,18.81335958,22.42578931,12.89508614,9.469532938,3.61242973,9.343826641,715593.2314,582028.4331,617376.8185,2.3,1.4,0.79,418.3892968,413.0016143,417.9737757,0.471793042,0.489694646,0.33235512,0.503822925,0.486396397,0.632531783,16.7505111,23.6900892,14.04484346,7.294387829,6.939578095,9.456123274,731181.2311,618526.6849,494722.272
20,2.3,1.4,0.79,418.3892968,413.0016143,417.9737757,0.471793042,0.489694646,0.33235512,0.503822925,0.486396397,0.632531783,16.7505111,23.6900892,14.04484346,7.294387829,6.939578095,9.456123274,731181.2311,618526.6849,494722.272,2.4,2.5,2.5,410.2973821,411.5295649,417.4680313,0.536598658,0.445958529,0.298168311,0.447207267,0.529965462,0.667726005,18.0778559,24.15185589,14.9306388,9.037446985,6.073999992,9.040408913,701678.9143,537043.8419,602369.6875
21,2.4,2.5,2.5,410.2973821,411.5295649,417.4680313,0.536598658,0.445958529,0.298168311,0.447207267,0.529965462,0.667726005,18.0778559,24.15185589,14.9306388,9.037446985,6.073999992,9.040408913,701678.9143,537043.8419,602369.6875,1.9,2.5,1.9,406.2392489,401.9957395,407.3281875,0.639845298,0.591447316,0.461991263,0.352074128,0.397986666,0.522834859,17.57936463,26.98252802,17.03838847,7.830208208,9.403163389,9.749156424,727924.3143,567318.8161,604303.4035
22,1.9,2.5,1.9,406.2392489,401.9957395,407.3281875,0.639845298,0.591447316,0.461991263,0.352074128,0.397986666,0.522834859,17.57936463,26.98252802,17.03838847,7.830208208,9.403163389,9.749156424,727924.3143,567318.8161,604303.4035,2.4,1.6,2.2,408.7947665,408.8699626,413.9002631,0.591122968,0.547484114,0.38225738,0.397703882,0.438703347,0.596441868,20.91715375,26.80015364,15.04439791,9.391903035,5.882999888,11.52525071,710397.5731,611254.8906,566221.9701
24,1.7,0.61,0.72,432.4393255,425.8938773,432.2428923,0.394760128,0.441849329,0.247343095,0.566327682,0.522352708,0.695113143,16.6375418,21.5890992,10.63769926,5.900875192,4.951557397,10.73666661,708740.1497,575705.3988,575692.196,1.1,0.64,1.7,408.6205212,404.1698183,409.9533596,0.737582058,0.739149335,0.611226451,0.25862478,0.256972184,0.3823619,17.02559763,23.3654598,12.56500734,6.43691875,6.33986217,10.58867888,719490.6714,604376.2069,567566.7385
25,1.1,0.64,1.7,408.6205212,404.1698183,409.9533596,0.737582058,0.739149335,0.611226451,0.25862478,0.256972184,0.3823619,17.02559763,23.3654598,12.56500734,6.43691875,6.33986217,10.58867888,719490.6714,604376.2069,567566.7385,2.3,1.6,2.0,398.0576382,394.4606542,398.5648891,0.737374244,0.725487945,0.594428681,0.259119717,0.270631801,0.399211191,24.50605237,33.52881046,18.18196478,9.460125235,9.022758085,15.04592714,724779.1502,497773.3082,577954.7139
26,2.3,1.6,2.0,398.0576382,394.4606542,398.5648891,0.737374244,0.725487945,0.594428681,0.259119717,0.270631801,0.399211191,24.50605237,33.52881046,18.18196478,9.460125235,9.022758085,15.04592714,724779.1502,497773.3082,577954.7139,2.2,0.99,1.5,404.8050325,403.0904208,407.8955309,0.68070433,0.668766227,0.496223403,0.313568395,0.324983792,0.492875261,24.46115817,30.18592914,14.70882992,9.287531472,5.724770977,15.17362669,681340.0153,505755.4392,609200.2105
27,2.2,0.99,1.5,404.8050325,403.0904208,407.8955309,0.68070433,0.668766227,0.496223403,0.313568395,0.324983792,0.492875261,24.46115817,30.18592914,14.70882992,9.287531472,5.724770977,15.17362669,681340.0153,505755.4392,609200.2105,0.74,1.6,0.55,410.2463919,406.6031948,410.7542062,0.767302273,0.693564649,0.501023399,0.229998507,0.301697197,0.489861797,22.85584122,30.9716367,13.12512471,5.359260834,8.11579548,17.49658039,699538.2815,554428.4247,539967.2037
28,0.74,1.6,0.55,410.2463919,406.6031948,410.7542062,0.767302273,0.693564649,0.501023399,0.229998507,0.301697197,0.489861797,22.85584122,30.9716367,13.12512471,5.359260834,8.11579548,17.49658039,699538.2815,554428.4247,539967.2037,1.7,1.1,2.1,420.4184522,412.3640269,417.4265792,0.519993272,0.55008785,0.377821487,0.461695009,0.432716949,0.595141206,16.7027114,24.03727078,13.09706788,5.977022282,7.334559385,10.72568912,721100.8066,586530.0484,511103.1661
29,1.7,1.1,2.1,420.4184522,412.3640269,417.4265792,0.519993272,0.55008785,0.377821487,0.461695009,0.432716949,0.595141206,16.7027114,24.03727078,13.09706788,5.977022282,7.334559385,10.72568912,721100.8066,586530.0484,511103.1661,1.7,1.4,1.2,411.3459213,410.7589664,415.4511655,0.638429599,0.58714714,0.395535563,0.353597449,0.40235605,0.586556481,22.55344291,28.44632805,13.83473015,8.228346934,5.892885133,14.32509598,723074.6563,598888.186,560597.9318
30,1.7,1.4,1.2,411.3459213,410.7589664,415.4511655,0.638429599,0.58714714,0.395535563,0.353597449,0.40235605,0.586556481,22.55344291,28.44632805,13.83473015,8.228346934,5.892885133,14.32509598,723074.6563,598888.186,560597.9318,2.1,0.53,1.1,416.1165548,416.7148769,422.5502127,0.548279695,0.54457293,0.353664591,0.436590307,0.43969659,0.620331829,20.10917476,23.35704105,11.7032921,8.683930687,3.247866297,11.42524407,707217.9497,564033.5401,572444.3938
