V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,targets
1.291508691,1.240649867,1.266320957,-1.174164715,-1.089867135,-1.099006569,0.4574653,0.245910342,0.454102414,-0.502968725,-0.260495712,-0.483360022,4
-0.107797744,-0.388788925,-0.351192216,1.100792674,0.445686339,0.494774214,-0.98102273,-0.462137231,-0.424018426,1.001332096,0.437454231,0.376561928,1
-1.125475151,1.115308421,-0.600040397,-0.790233222,-0.062884102,-0.070638414,0.995929466,0.236533445,0.176089941,-1.068300626,-0.234536672,-0.157169412,4
0.655460312,0.363259748,1.515169137,-0.129573815,-0.404779439,-0.369433706,-0.165851713,0.056306741,0.31687709,0.158019028,-0.083787952,-0.387043686,4
0.019411932,-1.140837598,-1.906493344,0.153319011,0.055953293,0.015178219,-0.062844244,0.158014206,0.089517272,0.043875254,-0.197452233,-0.129764921,4
-0.489426772,0.363259748,0.45756437,-0.106091209,-0.106745283,-0.086662781,0.173973595,0.131750335,0.201180076,-0.22126612,-0.170387114,-0.260571251,1
-0.489426772,0.613942639,1.639593227,0.332083615,0.7823061,0.785954683,-0.198823558,-0.699808867,-0.801780938,0.193462957,0.74883386,0.874128763,3
0.121179673,-0.890154707,-0.724464487,0.531796348,0.510148957,0.581941297,-0.391602761,-0.32459956,-0.288405825,0.408785874,0.330221018,0.287766191,4
2.080208682,-1.103235164,0.022080054,0.291132499,-0.205598983,-0.245715173,-0.717012314,0.018150399,-0.026966914,0.758552013,-0.049556353,-0.008728648,4
0.782669988,-0.902688852,0.519776415,-1.553332107,-0.813639938,-0.997879725,1.409087737,1.096767074,0.627580727,-1.193157023,-0.897352824,-0.340333803,2
-1.252684827,0.074974423,-0.475616306,1.040724941,0.804490713,0.865283725,-0.627998553,-0.593842143,-0.577522368,0.635935816,0.591057601,0.548462521,1
-0.55303161,1.541469336,-0.848888577,0.519065874,0.705909821,0.742202905,-0.584728859,-1.026605408,-0.644287441,0.534747348,0.923493713,0.44167018,3
