x1,x2,x3,x4,x5,x6
-501.95224817214785,-495.5707434507636,-259.72371049738484,-260.7870103589374,-433.946492347498,-5.745799586691798
-77.5738861600908,-121.39222785909847,-862.3352817727862,-480.89559392900975,-1.9521370569719,-740.2559422206568
-97.5854838096954,-154.3812580120951,-938.1038729403315,-519.1227108792427,-1.0036149478295042,-733.8800100768775
-27.59683584266057,-59.88992427435352,-2194.028273561818,-1346.759346535443,-19.56798851298089,-2288.574910149841
-16.772009310180852,-167.9985647198179,-763.7800876612783,-142.00376905635707,-89.79616354241898,-598.204979065217
-51.09704808063359,-87.11434683750622,-907.9460960182872,-498.2880067333542,-4.5710568772785765,-835.1261147888523
-100.49358075259882,-76.93106291020938,-534.9782076692055,-320.1711457651532,-5.746982122581171,-460.4013387757198
-43.81961393179748,-33.818761227431544,-371.38309521700063,-206.64709378896254,-54.74198228372004,-315.60406206817777
-230.44224675205348,-247.08922698403458,-305.9944069415659,-217.9961350448664,-106.01796158428549,-67.68169677915319
-640.7842541071138,-661.4678255978433,-341.7229609809012,-386.7247790341652,-459.157092784286,-3.502680704262206
-187.84110353843298,-209.50966085184405,-267.4462765792885,-189.086810525607,-100.22302965601973,-73.3560122255585
-10.67916222637695,-70.04893254821444,-704.4690052078596,-319.35196188542403,-49.25891302275322,-736.2395686453027
-291.07673209280875,-283.8762888176404,-240.71998511878937,-212.42991166056785,-167.40334154440285,-37.23474852604436
-197.1461096120725,-221.1358320008406,-678.2070615464349,-435.6055599963299,-2.6578600557453815,-481.8921444723478
-185.4170953169993,-188.81849780828702,-555.7956478618715,-354.68815304272596,-9.240665348648205,-327.58616348588976
-11.543725965716863,-80.89282565282161,-613.9013235204617,-258.07956820952046,-39.294559661206996,-497.35741641047537
-110.84856834716021,-59.76452288186561,-284.0866282757887,-201.65443971170785,-27.896964811813046,-272.41169764002643
-17.309776797046403,-92.68041842961638,-939.5362610938473,-440.4781769656954,-19.340591633661603,-834.8130167067258
-446.9520885916703,-457.33761915764165,-218.7638340113982,-234.65858844322352,-371.3280599175763,-8.329107580101502
-214.77858964038091,-174.4214562997973,-165.77784800516744,-171.07122818412157,-148.89826167083618,-55.672260208688954
-369.52262298705546,-381.6953073281205,-248.26976002614282,-243.29327663828704,-250.79313976690295,-17.99722949285926
-162.94848205510198,-180.20482152317942,-209.62754683522763,-161.6640210150744,-90.75397293333081,-84.07990663822197
-278.57633701595466,-308.2565948019423,-304.68364194278547,-209.53130028345507,-175.6202902458282,-34.83952251971455
-404.2491465779335,-412.5215019970417,-232.6101194043689,-244.60350436392977,-332.6222269399772,-10.00870507892774
-511.39318860389426,-544.2747604523662,-261.04585243645136,-269.0561234326671,-427.3987298379144,-5.166132956127025
-796.3953941617622,-737.2509355101738,-201.86461834517544,-387.6223240994169,-638.3527882793617,-4.466463442903503
-20.99799098403565,-53.439031053015086,-848.1509096410012,-448.9007928485937,-22.294322587235307,-817.2871013781595
-33.97730775365099,-95.34789378083485,-1005.5739133080294,-527.0163828791844,-8.586480089826885,-901.438906488231
-43.066697367192376,-31.411698006770955,-622.2624125743051,-359.29500109975254,-20.953320301821034,-642.6784993826772
-778.933959756488,-733.8612316702914,-242.21975657390422,-392.9620787497504,-632.770786387129,-2.3308746788773815
-620.9693121187269,-641.594374421682,-322.08406365785265,-369.34746230030544,-465.8274918610246,-3.0944585066742376
-73.00965886531844,-78.1019913141957,-480.9034511572808,-234.87902670835408,-11.977100786782295,-337.40503555252417
-10.105341149052535,-80.52955470446435,-768.3814419594019,-381.095261571016,-34.59437140253977,-672.0461491244525
-53.65437125770796,-95.23852300420701,-1436.1990468425154,-805.9945348987516,-3.934274286153641,-1410.6916490510353
-391.3705490846822,-393.2350753215419,-128.76804609130207,-133.21564839433876,-277.7822444454697,-35.19840477006074
-263.43593766943656,-280.30856113786274,-407.98332525808627,-285.99098841109145,-75.23974007075297,-97.70541184727999
-168.591380245159,-203.83865546743667,-798.5433098138817,-492.8227472652625,-0.9668232946969788,-619.6360072164305
-72.06331367849191,-83.30600359431433,-312.7342168665094,-179.90321263169133,-18.721025381478306,-305.6115914241088
-665.2059641698787,-683.8743027458708,-320.3679033986042,-385.30074001643237,-503.4847857004134,-2.3787490333587398
-188.20481264370008,-209.88895772353584,-343.4625921150403,-220.92033970511204,-61.79218944716442,-114.61309572634335
-133.39014369250077,-162.76561835674022,-1600.4488169612973,-965.5220129958184,-0.21325306178984796,-1554.2236336438702
-19.676327567650407,-117.98682083687763,-957.7260748819189,-385.3194757443369,-19.160930712715157,-835.2041717404159
-404.29190222982993,-419.64862020582285,-268.97892061775826,-252.37876041746813,-264.83430867050294,-15.885008000056821
-279.56329076253814,-255.79727268974491,-118.62476156555078,-165.3892678789323,-166.72530968351077,-50.2288702413146
-381.9970803619371,-360.3374863112231,-223.5606832635153,-241.7851759468278,-318.42994083372076,-12.779602812481833
-15.492127368392078,-53.32815736837773,-1037.833251787341,-540.2812114139293,-30.05924963443558,-1011.9319513652414
-61.25108864714626,-82.74937049049406,-523.8100454051088,-266.224119526818,-8.223471047946694,-411.77405074608714
-479.25895693750937,-453.22939763448534,-187.87844093046044,-277.12141321726483,-304.51217098266653,-14.637823822269722
-115.74740808605375,-113.34713002054905,-667.6706799715744,-398.4309952693404,-2.0050398230743176,-564.0784990160075
-11.239798143801416,-55.08493143460822,-779.511174090683,-382.0334983261899,-61.89753392132954,-753.494937737724
-339.1677491037976,-400.97153189615574,-257.21799916160995,-28.58474376057736,-346.36952744411155,-121.284981280388
-21.742846089757506,-55.73059511676844,-485.5350711954019,-235.45360591106592,-33.397631205574775,-415.5866345976343
-360.7863035702999,-391.85595739700346,-239.86602656476316,-199.66027646361937,-304.9639917293984,-13.578528766064657
-612.8752739749705,-606.3247370588648,-214.61645768139192,-223.4769533420002,-544.6428509198673,-9.922788054821165
-178.15612068840494,-190.87200338909147,-242.71951015177302,-162.7339418063445,-132.11142598945324,-56.56950474916962
-67.21828704872947,-124.93992521251519,-304.34238564679214,-117.91183619197331,-58.08676961731333,-163.5840798100352
-218.55347105115865,-248.1246707485339,-190.84885795821475,-109.9168507393805,-191.41147461067698,-43.39046791978623
-75.09048490120817,-88.54559690080879,-304.60721562519285,-180.89012114936833,-34.38789688664252,-199.44746002424156
-151.0381128306969,-166.14789142765122,-275.29295821383676,-154.04968629036466,-60.32240781343675,-122.10226642177287
-619.3758211508614,-613.9762430557596,-259.08198859554614,-319.6012369688527,-503.4690251890232,-3.076385255874725
-56.10284543235849,-79.74311168256845,-1345.31964596473,-773.3312707620572,-4.663993853386663,-1345.2032366002743
-243.57617773388262,-257.7579599464735,-205.40014150851138,-133.63406989901551,-206.71427139151353,-34.01104861315223
-1.4400555108388664,-155.55450444638512,-1220.5009612344768,-542.1757437294723,-77.59021147173897,-1056.7066100148124
-29.45564171276374,-98.78481168744862,-668.0497503351174,-312.3064495552765,-12.379532618134615,-535.6027599725396
-75.75111302748391,-83.05593941455321,-410.8782467949808,-252.91883299032193,-12.236760974969778,-336.01735905439045
-495.94750471086485,-530.3094726528166,-247.46046111583877,-251.65678529973434,-403.95382865704056,-6.4026211479137
-337.7124326829447,-275.04502114025706,-106.45833789112275,-109.29073195853181,-295.0433352506653,-63.9366813293762
-66.60372561205158,-69.29152441773029,-461.6225245701642,-224.99904659401912,-15.857159397427937,-310.697097212564
-444.7536106969522,-478.7631236506587,-170.75260343126922,-173.11014427239922,-383.07137973801537,-14.27463732041037
-40.874597815100955,-98.71053606851227,-841.8754255055094,-440.9063959203639,-6.6859382508493015,-696.5293956335635
-141.24897036208338,-151.23133648652242,-357.736221904833,-221.7184672217371,-33.23143425119654,-179.6743280658807
-81.66199282098583,-106.45182829978673,-347.6118396978063,-175.49460326188634,-29.218475640769444,-209.23151774382708
