coordination,DMPC1_ISE,DMPC1_ISC,DMPC1_PI,DMPC2_ISE,DMPC2_ISC,DMPC2_PI
0.0,534.7236883980106,479.8302257770331,1014.5539141750437,532.7755917218839,479.8318561423782,1012.607447864262
1.0,534.8208870056301,479.830201836847,1014.6510888424771,532.2678855037005,479.8311445791219,1012.0990300828224
2.0,533.6862808391257,479.68923996785867,1013.3755208069845,530.9020641440321,480.6987464910965,1011.6008106351286
3.0,534.7033799521876,478.6563335734288,1013.3597135256164,531.2711339033423,480.32794922901974,1011.599083132362
4.0,534.7047296789692,478.6565130374776,1013.3612427164469,531.2719695509429,480.327386999064,1011.5993565500069
5.0,534.7033566510113,478.6578958702609,1013.3612525212723,531.2717457170495,480.3276112107975,1011.599356927847
