step,time,DMPC1_qh,DMPC1_qc,DMPC1_V,DMPC1_T,DMPC2_qh,DMPC2_qc,DMPC2_V,DMPC2_T,qh_sp,qc_sp,V_sp,T_sp
0.0,0.0,3.4464000719566417,9.00338158463416,5.0,319.9999999996506,0.4957282598888466,11.950133262972752,5.0,319.9999999996506,0.5,9.0,8.1,305.26315789411154
1.0,0.1,3.1658978885452718,9.003648001067004,5.294978165659078,321.6508637134032,0.4967153678725552,11.669591878199059,5.2945861522861595,316.5589984498851,0.5,9.0,8.1,305.26315789411154
2.0,0.2,2.9120911640242104,9.003689919043632,5.561932754620306,322.5274616426697,0.4974798508436611,11.415713565886293,5.561216876893321,314.0532966376273,0.5,9.0,8.1,305.26315789411154
3.0,0.30000000000000004,2.682442250330671,9.003596280922974,5.80351086292709,322.8890926094411,0.4980673520109029,11.185967187741001,5.802536218566316,312.1847334499979,0.5,9.0,8.1,305.26315789411154
4.0,0.4,2.474653721947876,9.003423692100476,6.022114716052454,322.90077903688064,0.4985194807913966,10.978061154993371,6.020939672541505,310.7638901147222,0.5,9.0,8.1,305.26315789411154
5.0,0.5,2.286645967704543,9.003208118139204,6.2199224574572884,322.67147194337434,0.4988690110264716,10.789920928603712,6.218597736119982,309.66596977638994,0.5,9.0,8.1,305.26315789411154
6.0,0.6000000000000001,2.1165367543190934,9.002972458471291,6.398907866041664,322.27535938119985,0.49914063948409637,10.619668601610453,6.397476730083002,308.8061674733862,0.5,9.0,8.1,305.26315789411154
7.0,0.7000000000000001,1.9626226330612901,9.002731277915064,6.560858787320703,321.7642867876307,0.4993527530662617,10.465604367028227,6.559357654192459,308.1253007067029,0.5,9.0,8.1,305.26315789411154
8.0,0.8,1.8233620509131885,9.002493759683441,6.707394178418337,321.1752912152681,0.4995190496399123,10.326189703647016,6.705853366201906,307.58110290261357,0.5,9.0,8.1,305.26315789411154
9.0,0.9,1.6973600268711206,9.002265569235105,6.839979759478,320.535315760572,0.49964979604125026,10.200032127798737,6.838424241530601,307.1427713052175,0.5,9.0,8.1,305.26315789411154
10.0,1.0,1.583354258790269,9.002050049099159,6.959942319088624,319.86425342322843,0.49975275204901537,10.085871371188912,6.958392433914598,306.78745215687974,0.5,9.0,8.1,305.26315789411154
11.0,1.1,1.4802025337885185,9.001848997570624,7.0684827498775675,319.17696178336655,0.4998338363623435,9.98256685581151,7.066954846238392,306.4979210755909,0.5,9.0,8.1,305.26315789411154
12.0,1.2000000000000002,1.3868713241005965,9.001663184346212,7.166687903013483,318.4846291395863,0.49989760487612317,9.889086347355889,7.165194915455779,306.261009623633,0.5,9.0,8.1,305.26315789411154
13.0,1.3,1.302425459497391,9.001492696942616,7.255541353858164,317.79572111771995,0.49994759535077027,9.80449567842262,7.25409331067898,306.06652450997467,0.5,9.0,8.1,305.26315789411154
14.0,1.4000000000000001,1.2260187764588297,9.00133717634718,7.335933169502165,317.11664995854534,0.49998657753347403,9.727949442227114,7.334537638056319,305.90648535285624,0.5,9.0,8.1,305.26315789411154
15.0,1.5,1.1568856529485558,9.001195978927878,7.408668764782767,316.45225666249627,0.5000167362439331,9.658682566229242,7.407331240032378,305.77458041199475,0.5,9.0,8.1,305.26315789411154
16.0,1.6,1.0943333457572462,9.001068288463218,7.474476927970409,315.80616439542825,0.5000398066552197,9.596002683256122,7.473201170279697,305.66577337194957,0.5,9.0,8.1,305.26315789411154
17.0,1.7000000000000002,1.037735054908304,9.00095319393004,7.534017091392457,315.18104131576774,0.5000571752167522,9.539283225182137,7.53280541927083,305.5760119254128,0.5,9.0,8.1,305.26315789411154
18.0,1.8,0.9865236465478652,9.000849743468208,7.587885916276291,314.5788004543437,0.5000699556660916,9.487957171112157,7.586739459310721,305.5020118111468,0.5,9.0,8.1,305.26315789411154
19.0,1.9000000000000001,0.9401859720876573,9.000756981575668,7.636623255277897,314.000752995902,0.5000790468121413,9.441511388309975,7.635542171988545,305.4410943202438,0.5,9.0,8.1,305.26315789411154
20.0,2.0,0.8982577271640997,9.000673974382723,7.680717550644229,313.44772775887105,0.5000851768554171,9.399481509859026,7.6797012155007565,305.3910623457774,0.5,9.0,8.1,305.26315789411154
21.0,2.1,0.8603187992559714,9.00059982638819,7.720610720798914,312.92016554523735,0.5000889376735619,9.361447298275236,7.7196578841722,305.35010378886864,0.5,9.0,8.1,305.26315789411154
22.0,2.2,0.8259890576041891,9.000533691049982,7.75670258336333,312.4181945481153,0.5000908115600787,9.327028449050943,7.75581150776708,305.31671778369343,0.5,9.0,8.1,305.26315789411154
23.0,2.3000000000000003,0.7949245434387964,9.000474776944328,7.789354858228747,311.94169127913756,0.5000911922379373,9.295880792432769,7.788523433828182,305.28965642260334,0.5,9.0,8.1,305.26315789411154
24.0,2.4000000000000004,0.7668140224770281,9.000422350735958,7.818894790267059,311.49033063343404,0.5000904014934889,9.26769285566131,7.818120632295253,305.2678789102734,0.5,9.0,8.1,305.26315789411154
25.0,2.5,0.7413758652471314,9.000375737868794,7.845618427588358,311.06362602757576,0.5000887024328707,9.242182751461407,7.844898958010733,305.25051403315507,0.5,9.0,8.1,305.26315789411154
26.0,2.6,0.718355224048088,9.00033432164845,7.86979358789995,310.66096353616587,0.5000863101135715,9.219095361800452,7.86912610340016,305.23683109957443,0.5,9.0,8.1,305.26315789411154
27.0,2.7,0.6975214783056615,9.000297541215078,7.891662542469605,310.2816302747395,0.5000834001209737,9.198199788858645,7.8910442705915615,305.22621611244256,0.5,9.0,8.1,305.26315789411154
28.0,2.8000000000000003,0.6786659227580566,9.00026488877805,7.91144444442168,309.924837998515,0.5000801155245905,9.179287047806637,7.910872589489522,305.2181523542557,0.5,9.0,8.1,305.26315789411154
29.0,2.9000000000000004,0.6615996753253958,9.000235906389642,7.929337525575289,309.58974290378563,0.5000765725481319,9.162167978387947,7.928809305822646,305.21220457248154,0.5,9.0,8.1,305.26315789411154
30.0,3.0,0.6461517837094435,9.000210182463794,7.945521083746792,309.27546225970343,0.500072865212079,9.146671354478622,7.945033760916254,305.20800566374425,0.5,9.0,8.1,305.26315789411154
31.0,3.1,0.6321675117547627,9.000187348192282,7.960157280364116,308.9810883758238,0.5000690691504243,9.132642172766207,7.959708182885324,305.20524606718385,0.5,9.0,8.1,305.26315789411154
32.0,3.2,0.6195067883990788,9.000167073969545,7.97339276635882,308.7057003895497,0.50006524475984,9.119940103472963,7.9729793070769865,305.2036648497283,0.5,9.0,8.1,305.26315789411154
33.0,3.3000000000000003,0.6080428036666006,9.000149065905878,7.985360152595682,308.44837412136894,0.5000614398062977,9.10843808766205,7.984979841900267,305.20304187612237,0.5,9.0,8.1,305.26315789411154
34.0,3.4000000000000004,0.5976607376293647,9.000133062484542,7.99617933955293,308.20818970361955,0.5000576915885026,9.09802106712582,7.9958297946471015,305.2031918898909,0.5,9.0,8.1,305.26315789411154
35.0,3.5,0.5882566095927886,9.00011883139965,8.005958719564319,307.9842386733401,0.5000540287376097,9.08858483417674,8.005637670518533,305.2039589863617,0.5,9.0,8.1,305.26315789411154
36.0,3.6,0.5797362359656651,9.000106166597549,8.014796263663564,307.775629457717,0.50005047271713,9.080034989856802,8.014501556809968,305.2052123731666,0.5,9.0,8.1,305.26315789411154
37.0,3.7,0.5720142863637133,9.00009488553351,8.022780503919883,307.58149180191435,0.5000470390747102,9.072286000162608,8.022510103067361,305.206842516969,0.5,9.0,8.1,305.26315789411154
38.0,3.8000000000000003,0.5650134284802875,9.000084826647443,8.029991421109603,307.4009802807256,0.5000437384878108,9.065260340860787,8.029743406991093,305.2087579497644,0.5,9.0,8.1,305.26315789411154
39.0,3.9000000000000004,0.5586635531477094,9.00007584705631,8.036501246622374,307.23327701791294,0.5000405776376157,9.058887722352454,8.036273814925952,305.21088256838215,0.5,9.0,8.1,305.26315789411154
