V_1,V_2,V_3,T_1,T_2,T_3,x_A1,x_A2,x_A3,x_B1,x_B2,x_B3,F_1,F_2,F_3,F_f1,F_f2,F_R,Q_1,Q_2,Q_3
1.8,1.6,1.4,427.6963736,417.8902545,423.500403,0.414401902,0.441717902,0.265734169,0.551880954,0.525675346,0.68456794,21.535374905412624,22.719239749142695,4.4156895546649855,7.512286479454085,3.8505315103967375,14.02308842595854,718398.6052062024,546897.0229655898,609506.9639988636
1.8,1.622222222222222,1.433333333333333,427.02983394900343,419.2474607063181,423.68657695316784,0.4225279501717121,0.43018163721899866,0.2566420907125254,0.5443742958460721,0.5365207613067186,0.6927820296929164,21.533318888286537,22.85977008755333,4.777307277504044,7.509117876255647,3.8449697177853124,14.02420101203089,718398.4002775373,546896.8165934006,609506.6697967526
1.8,1.6432098765432102,1.4648148148148141,426.4367502268539,420.3887622126899,423.9953847216152,0.42929097192305127,0.42032931885383384,0.24781766669983568,0.5382105726808629,0.545732853377039,0.7007535158166767,21.531289127335523,22.993214357431164,5.119485213815319,7.505967647876755,3.8405260531409087,14.025321479458768,718398.2063280406,546896.6140013121,609506.3927800419
1.8,1.6630315500685873,1.4945473251028802,425.91593252826414,421.3497227815859,424.3850167059438,0.4348458168450979,0.4118615390244841,0.23940732363276912,0.533225920010622,0.5536090588577904,0.7083386366075852,21.529279877018055,23.11970944483727,5.443079497807995,7.502862771414972,3.8368859006952984,14.026417105603084,718398.0211200636,546896.4157088038,609506.1316377564
1.8,1.6817520195092217,1.522628029263831,425.4644439030633,422.1603027357314,424.8245220815872,0.43933275535206784,0.40453230789208444,0.23149896265999795,0.5292735769539583,0.5603928620129374,0.7154514083084422,21.527319834151594,23.239498508796842,5.748998085455475,7.499848639608866,3.833831877917111,14.027471194542727,718397.8424952893,546896.2220641687,609505.885059905
1.8,1.6994324628698203,1.5491486943047292,425.0782169061471,422.8457181997358,425.29114291291063,0.4428793830826617,0.39813915342506684,0.22413788820684175,0.5262215531231106,0.566283760931142,0.7220477909605424,21.52544430295349,23.352876358275555,6.0381553929664875,7.496968230397344,3.8312156361899348,14.028476072556145,718397.6686152029,546896.0332225702,609505.6517893622
1.8,1.7161306593770524,1.5741959890655775,424.7525117738455,423.42716311311625,425.76832132783903,0.4456018557652068,0.39251537075995224,0.21733879804614317,0.5239510065966984,0.5714451187643899,0.7281137753572603,21.523683960378285,23.460157965902894,6.311446324342017,7.49425431789652,3.828936276344261,14.029429642481764,718397.4980111661,546895.8491692471,609505.4306451136
1.8,1.7319011783005493,1.5978517674508235,424.48225220554747,423.92242437915303,426.24419274620845,0.4476057437151593,0.38752378672018684,0.2110948786325628,0.5223550493004449,0.5760105155424925,0.7336563571759726,21.52206059647407,23.561660093121436,6.569732662299242,7.491728033897904,3.826924974643706,14.030332562576167,718397.3295555081,546895.6697590133,609505.2205315075
1.8,1.7467955572838523,1.6201933359257779,424.2622677021106,424.34640463682683,426.7104424899513,0.44898665571154184,0.38305168710640103,0.20538469856888403,0.5213378307451231,0.5800889365329065,0.7386967092357178,21.52058643080305,23.657691206439303,6.813836753486746,7.489400131007873,3.8251343937439093,14.031186299795177,718397.1624073965,546895.4947572597,609505.0204405088
1.8,1.7608624707680829,1.6412937061521233,424.0874654754022,424.7115656664029,427.1614346354613,0.449830741551269,0.37900665216505847,0.20017741436068826,0.5208137878055782,0.5837690428715171,0.7432650389676718,21.519265242470663,23.748546549146447,7.044539307254261,7.487273135046143,3.8235315015552342,14.031992107424525,718396.9959565381,546895.3238758435,609504.8294503299
1.8,1.7741478890587452,1.661221833588117,423.9529470700462,425.0283083304389,427.5935437553468,0.4502151952663397,0.37531307746504927,0.19543665829203885,0.5207069353582866,0.5871227419524778,0.7473967615047094,21.518094237393896,23.834506236677946,7.262579428586008,7.485343552414105,3.822092738892421,14.032750684979792,718396.8297732606,546895.1568016373,609504.6467221213
1.8,1.786695228555482,1.6800428428332215,423.8540851680498,425.3052938767752,428.00464385365376,0.4502087526596548,0.37190928834905834,0.19112340149856477,0.5209501988438421,0.5902081470467274,0.7511296941698988,21.51706602072671,23.91583499650708,7.468655809164295,7.4836037923957335,3.8208007854104986,14.033462228330977,718396.6635671925,546894.9932176946,609504.4714956002
1.8,1.7985454936357332,1.697818240453598,423.7865702870777,425.5497168372263,428.393715992972,0.4498722194802062,0.3687451285451601,0.18719802052132015,0.5214847476886829,0.5930720458430582,0.7545020436240586,21.516170348659855,23.992782714554835,7.663428473425651,7.482043704065239,3.819642408323435,14.034126644594615,718396.4971542213,546894.8328179502,609504.3030841148
1.8,1.8097374106559703,1.7146061159839543,423.74643417207767,425.76753811336687,428.76054678182606,0.44925904955638185,0.3657799315617618,0.18362173871339796,0.5222593065551078,0.5957519697435332,0.7575510136546659,21.5153955297476,24.065585310620342,7.847520748241332,7.480651736670444,3.818607043166283,14.034743793077158,718396.330430561,546894.6753166865,609504.1408694432
1.8,1.8203075545084166,1.7304613317626236,423.7300573260107,425.9636820308286,429.1054978174758,0.4484159398960041,0.3629808311248753,0.18035759364890722,0.5232294725234349,0.5982779099314414,0.7603118819993401,21.514729458894944,24.134465690368597,8.021521278815975,7.479415775917714,3.817685868084215,14.035313682977232,718396.1633526069,546894.520453992,609503.9842965244
1.8,1.830290468146838,1.7454357022202558,423.73416551014,426.14220274361975,429.4293295747706,0.4473834308976794,0.36032135676835936,0.17737104847711435,0.5243570459307088,0.6006737365624429,0.7628174283245002,21.514160323939848,24.199634654029328,8.185985999644968,7.478323720162663,3.8168712091105688,14.035836603777184,718395.9959213831,546894.3679982853,609503.8328682546
1.8,1.8397187754720135,1.7595781632080192,423.7558174970739,426.30642607742215,429.73306731382087,0.4461965165195926,0.3577802573461554,0.17463032984843724,0.5256093677277537,0.6029583797321937,0.7650976305988425,21.513677046909283,24.26129171558642,8.341440017089358,7.477363857480672,3.816156165530387,14.036313189428617,718395.8281705751,546894.217746784,609503.6861404389
