V_1,V_2,V_3,T_1,T_2,T_3,x_A1,x_A2,x_A3,x_B1,x_B2,x_B3,F_1,F_2,F_3,F_f1,F_f2,F_R,Q_1,Q_2,Q_3
1.8,1.6,1.4,427.6963736,417.8902545,423.500403,0.414401902,0.441717902,0.265734169,0.551880954,0.525675346,0.68456794,23.849192751401777,23.083895068598167,2.81262796030032,7.8969700962078075,1.9013689838630585,15.952222655193967,718383.3775741194,546885.1424262373,609497.0301572555
1.8,1.622222222222222,1.4333333333333331,426.8840576234082,419.90344038978986,423.72020638301586,0.42523458611731463,0.4247307356468089,0.2524939820916993,0.541903842401926,0.5416458930215299,0.6965257587940186,23.701157918952266,23.231929901047682,3.2307641329807346,7.795875575531513,2.0492905006139357,15.905282343420755,718383.3976043068,546885.054049565,609496.9526224197
1.8,1.6432098765432095,1.4648148148148148,426.2038925622708,421.54887115044625,424.13182735142294,0.4335827551499972,0.41076274875158664,0.239751477033681,0.5343372856276138,0.5547032288871615,0.7080235476258676,23.56499150980556,23.368096310194392,3.6252287334488265,7.707181370415693,2.1817056234341003,15.857810139389864,718383.4099606854,546884.9818818725,609496.8757147207
1.8,1.663031550068586,1.494547325102881,425.6474917426414,422.8959466329791,424.6660260176288,0.43979174866596027,0.39917358217864635,0.22778356444855832,0.5288278862763409,0.5654720257742971,0.7187928016047052,23.44042760003614,23.492660219963813,3.9970421877993694,7.630688842339751,2.2986889528037597,15.809738757696387,718383.4156262347,546884.9224375787,609496.8015296803
1.8,1.6817520195092202,1.522628029263832,425.2041371281458,424.0020379221053,425.27277020505886,0.4441717160443844,0.38944982241578197,0.21674288724744742,0.5250618024630499,0.5744523958425871,0.728685979906125,23.326600591322965,23.606487228676993,4.34791334541744,7.565724043919279,2.4015398406258868,15.760876547403685,718383.415575147,546884.8729566847,609496.7312695557
1.8,1.6994324628698187,1.54914869430473,424.86204413641394,424.9141278225175,425.91630857295445,0.4470014887212661,0.381183229117022,0.2066935778056612,0.5227597321543407,0.5820410610552282,0.7376415986667009,23.222412055844657,23.710675764155305,4.679706999300434,7.511340101380866,2.4920472891785153,15.71107195446379,718383.4107302885,546884.8312690451,609496.6655426105
1.8,1.7161306593770511,1.5741959890655786,424.6092098393689,425.67041150077375,426.57147602455314,0.44853111645701715,0.37405190857405834,0.19763838008052012,0.5216734845451921,0.5885497788858491,0.7456577162002574,23.126734138043783,23.80635368195618,4.994178495629325,7.4664578830463535,2.57208181473205,15.660276254997427,718383.4019390306,546884.7956782286,609496.6045682201
1.8,1.731901178300548,1.5978517674508237,424.43396762867206,426.3017599487963,427.2209214085707,0.4489835110467248,0.3678042354646805,0.18953923899637382,0.521583638472579,0.5942211746345627,0.7527717972654754,23.038512948009252,23.894574871990713,5.292864403161167,7.429961720719996,2.643387401977799,15.608551227289254,718383.3899615348,546884.7648646841,609496.5483172862
1.8,1.746795557283851,1.6201933359257776,424.32533240362187,426.8330101536218,427.8530257580994,0.44855573074158334,0.36224522547057086,0.18233277235485906,0.522297714541159,0.5992422263421482,0.7590455934012406,22.956813187406624,23.97627463259334,5.5770582180862975,7.400762219420775,2.7074910632943716,15.55605096798585,718383.3754673282,546884.7378064562,609496.4966079835
1.8,1.7608624707680818,1.6412937061521233,424.2731989553813,427.28406880025153,428.46034531294066,0.44742019311712977,0.3572251404011796,0.17594168946654307,0.5236485416413653,0.6037555761677675,0.7645540054605326,22.8808299052651,24.05225791473487,5.847827963604567,7.377835141724787,2.7656782043492187,15.502994763540316,718383.3590372351,546884.7137151277,609496.4491705871
1.8,1.7741478890587443,1.661221833588116,424.26843684087106,427.67084114470316,429.0384489179316,0.44572605597174625,0.35263003548066757,0.1702829817462818,0.5254925556131377,0.6078689284544042,0.7693771201999091,22.80988312876046,24.123204691239508,6.10605085820978,7.360243203645591,2.819002302087415,15.449639925114871,718383.3411685904,546884.6919845792,609496.4056908722
1.8,1.7866952285554807,1.6800428428332204,424.30291425945273,428.0060018289003,429.585053488978,0.44360083225480995,0.3483740019950154,0.16527357555590028,0.5277079452218046,0.6116627621177627,0.7735947411544801,22.7434046179413,24.18968320205867,6.352451677487057,7.347145980562459,2.868310393747491,15.396258637378844,718383.3222822872,546884.6721503215,609496.3658386832
1.8,1.7985454936357317,1.697818240453597,424.3694754817075,428.299627308449,430.0993838722481,0.4411522087021107,0.3443928722553395,0.16083404023512465,0.5301926591192607,0.6151965807400576,0.7772828284990626,22.6809219532265,24.252165866773474,6.587638268769324,7.337801821499566,2.9142739559754296,15.343120131726934,718383.3027306639,546884.6538574223,609496.3292862664
1.8,1.8097374106559687,1.7146061159839527,424.46188725504686,428.55971284864046,430.58170094602343,0.4384700397627315,0.34063914807773066,0.15689081248851866,0.5328622908371937,0.6185139342120123,0.7805113915042818,22.622042719586467,24.31104510041351,6.812131559834401,7.331564634156271,2.9574196431205815,15.290478085430193,718383.2828055616,546884.6368353395,609496.2957195732
1.8,1.820307554508415,1.730461331762622,424.57476949432726,428.79258999647897,431.03295579495597,0.43562837838988033,0.3370779773318975,0.15337737450434627,0.5356479656457147,0.6216463879649362,0.783343402478185,22.56644011510151,24.366647704898465,7.026389476332275,7.3278775919149055,2.998157226407519,15.238562523186605,718383.2627461262,546884.6208782656,609496.2648447766
1.8,1.8302904681468364,1.745435702220254,424.7035152941868,429.00326547687945,431.4545385172399,0.4326875233062971,0.33368397243738546,0.15023465460257657,0.5384942445872289,0.6246166451264962,0.7858344656213249,22.51384049826374,24.419247321736236,7.230825193665718,7.326265194794241,3.0368037024935868,15.187575303469496,718383.2427460991,546884.6058298327,609496.2363915641
1.8,1.8397187754720126,1.7595781632080172,424.84421058612895,429.1956919897178,431.84809657359665,0.42969594817712164,0.33043874391719075,0.14741095314173977,0.5413571672061713,0.6274409525410732,0.7880329442392615,22.464012950766374,24.469074869233605,7.42582056300618,7.3263246557197546,3.073603415320482,15.137688295046614,718383.2229604598,546884.5915712576,609496.2101142998
1.8,1.8486232879457896,1.772934931918683,424.9935529077232,429.3729871685749,432.2154066377686,0.4266921200505328,0.3273289898396528,0.1448615226019256,0.5442024253378226,0.630130949197382,0.789980417783795,22.41676071565216,24.51632710434782,7.611735647704369,7.327717248886131,3.1087444690570636,15.089043466766023,718383.2035113627,546884.578012183,609496.185791811
1.8,1.8570331052821343,1.7855496579232004,425.1487770065688,429.53760699038327,432.55828324025117,0.42370612111404227,0.3243450516762183,0.14254799884433048,0.5470037418224365,0.6326950511575614,0.7917122779216603,22.371914279377467,24.561173540622516,7.788915247791182,7.330160018933663,3.1423718926974855,15.041754260443799,718383.1844933704,546884.5650836279,609496.1632263248
1.8,1.8649757105442382,1.7974635658163558,425.3075830989052,429.6914859159833,432.8785184021051,0.42076110536168304,0.32147981975928586,0.1404377153220724,0.5497414270175538,0.6351394878989843,0.7932584301596285,22.329325843310162,24.60376197668982,7.957693167150439,7.3334180835241165,3.1745980630847392,14.995907759786041,718383.1659780105,546884.5527325828,609496.1422419108
1.8,1.8724770599584475,1.8087155899376695,425.4680748266697,429.8361469343159,433.1778387120027,0.417874551855446,0.3187279306277066,0.13850302961117758,0.5524011388697763,0.6374690522412289,0.7946439782304702,22.288864941752987,24.644222878246996,8.118394838446196,7.337297648238015,3.205510870104361,14.95156729351497,718383.1480177087,546884.5409178801,609496.1226826725
1.8,1.8795616677385336,1.8193425016077989,425.62870004088927,429.97279063825175,433.4578821002344,0.4150593443542223,0.31608517375872897,0.1367206375810326,0.55497282612692,0.6396876431715701,0.7958899119919338,22.25041499055773,24.682672829442254,8.271338788748066,7.341639776754275,3.2351800539609674,14.90877521380345,718383.1306491562,546884.5296070572,609496.1044108501
1.8,1.886252686197504,1.8293790292962546,425.7882012446989,430.10236465781736,433.7201817467816,0.41232467773479586,0.31354807254170364,0.13507096107871353,0.5574498412861122,0.6417986407527158,0.797013719653118,22.213870582237252,24.719217237762734,8.416837314130754,7.3463149100735095,3.2636620808754553,14.867555672163741,718383.1138961747,546884.5187739838,609496.0873049385
