instance,V1,V2,V3,T1,T2,T3,xA1,xA2,xA3,xB1,xB2,xB3,F1,F2,F3,Ff1,Ff2,FR,Q1,Q2,Q3,label
16,-0.532982528,-1.230229553,2.060674793,0.367356424,0.479016846,0.476114728,-0.023705695,0.007071267,-0.107485329,0.026978838,-0.008220316,0.12579722,-0.037679963,-0.528281721,-1.326219293,-0.481692588,-1.06974874,0.212288512,1.951649127,0.494622903,-0.473082305,1
17,1.42035658,-0.602937939,-0.121057882,1.289857861,0.791654104,0.802052006,-1.608060539,-1.116295905,-1.140948551,1.697052549,1.14746884,1.151386915,-1.200679767,-0.776704016,-0.376229247,-1.309023136,0.783283987,-0.685425546,-1.808134431,-1.368904125,-0.186711736,7
18,-0.380774286,1.832429502,-0.848302107,-0.93014548,-0.020993554,0.069725991,0.768671518,-0.240222493,-0.053402313,-0.767426142,0.316875136,0.143777335,0.141705096,-0.482389749,0.329008505,1.781407617,-1.339117432,-0.782382668,1.024965319,1.563739992,2.185035811,7
19,0.760787531,-0.861234486,-0.981630215,0.356411082,-0.246795057,-0.318242111,-0.453586881,0.221730391,0.212034737,0.471762873,-0.255354016,-0.251282328,-0.362147962,0.210682524,0.35903224,-0.827826566,1.202549713,0.023021921,0.627452167,0.693183972,-2.355963361,6
20,0.126586521,1.352735915,2.07279553,-0.34940604,-0.07502613,-0.025064122,0.232529891,-0.177214602,-0.11899569,-0.235161256,0.203870485,0.146137064,0.233665583,0.077075699,0.276569088,0.663753637,-0.313313466,-0.083634659,-1.188049301,-1.547327429,2.06844034,4
21,-0.63445469,-0.000245997,-0.727094736,-0.175326645,-0.485831061,-0.502199205,0.370270211,0.590473976,0.570956188,-0.394956903,-0.61830649,-0.601910908,-0.087218145,0.471454317,0.658314235,-0.459364427,1.20327824,0.143503144,1.056558179,0.575001271,0.037541084,6
22,0.633947329,-1.107231197,0.363771602,0.110088001,0.350275925,0.325469548,-0.174258836,-0.178135888,-0.277701447,0.189019443,0.190511367,0.305698096,0.586993509,-0.030161788,-0.623091614,0.594711948,-1.273068005,0.359103875,-0.705868716,0.834431403,-0.731202586,6
24,-0.761294892,0.03665351,1.187981723,-1.028106012,-1.107010324,-1.103920506,1.228706666,1.206374611,1.268053396,-1.276835012,-1.243092389,-1.299176911,0.068589127,0.295931091,0.601943306,0.204267493,0.501568709,-0.029554712,0.432677567,0.544537471,-0.155708875,5
25,1.521828742,1.180538217,0.363771602,-0.456041625,-0.494765816,-0.56403826,-0.000423594,-0.055200933,-0.058404736,0.001770764,0.063789829,0.069934933,1.3150512,1.692208671,1.754609734,1.151079535,0.969622864,0.900688643,0.212755692,-2.02436802,0.199958529,6
26,-0.127093882,-0.750535966,-0.605887365,0.290990052,0.439733378,0.462089347,-0.202736297,-0.2298974,-0.342063798,0.225606094,0.254372232,0.389012158,-0.00750019,-0.556327307,-1.085184299,-0.065496238,-1.192741035,0.026133263,-1.749196698,0.151650654,0.600658956,8
27,-1.852120628,0.750043972,-1.151320534,0.234627616,0.17898614,0.141560969,0.310615275,0.100831161,0.016851249,-0.346984992,-0.109247451,-0.01257201,-0.281738539,0.131005817,-0.494916249,-1.495205588,0.864097943,0.469567776,0.732551066,0.924387368,-1.329665296,5
28,1.217412257,-0.615237775,1.878863737,0.438782834,0.293540721,0.330436845,-0.88582654,-0.581864203,-0.429162909,0.960945745,0.613445063,0.437260558,-1.080999316,-1.154242577,-0.008923275,0.235375822,-0.282819956,-1.367360639,0.868008467,0.609690125,-0.554124284,6
29,-0.00025368,0.36874907,-1.090716848,-0.391724906,-0.081803993,-0.097850456,0.424697278,0.150573708,0.061849503,-0.448741783,-0.142379896,-0.035714204,1.028633556,0.734226034,0.230291513,0.857239913,-0.521598682,0.727407348,0.079296573,0.234752889,0.951251425,3
30,0.507107127,-1.07033169,-0.121057882,0.205682179,0.303481357,0.351568161,-0.322700439,-0.172500725,-0.145770646,0.344025983,0.174699239,0.140243268,-0.429181016,-0.847071314,-0.666030953,0.173638091,-0.956663016,-0.585422722,-0.638627002,-0.661838043,0.227977976,8
31,-1.141815497,1.930828186,-0.630128839,0.516457831,0.159630594,0.10691844,-0.288988521,-0.45419731,-0.400850389,0.298628707,0.460495627,0.389480888,-0.409086918,0.486978756,0.355088042,-1.553608256,1.899142539,0.354187468,0.815901094,0.190390771,-0.687791981,8
32,-0.596402629,-0.861234486,0.630427817,-1.107569024,-0.941314648,-0.917895894,1.294999473,1.282488419,1.297905533,-1.406214386,-1.356360172,-1.371479332,0.366796977,0.028844997,0.142859809,0.900513277,-0.691934161,-0.056247654,0.289990308,-0.865228532,-0.062349691,7
33,1.230096278,0.122752359,-0.557404417,0.769178469,0.572075675,0.596352813,-1.087172511,-0.885961782,-0.900728249,1.192439749,0.952349764,0.977011316,-0.317183646,-0.052822654,0.223563088,-0.301547082,0.537797332,-0.204552979,-0.140222728,1.049503297,1.595085371,7
37,1.014467934,0.245750715,1.818260051,-0.165534523,-0.175392368,-0.067866103,-0.194123582,-0.211715686,0.019751085,0.199282443,0.204854457,-0.046896143,-1.236795573,-1.135648985,0.327064854,0.257614867,0.078064389,-1.558228259,-0.680082632,-0.179900932,1.489744931,4
39,-0.127093882,-0.430740241,1.163740249,0.768451076,0.238017721,0.237366131,-0.610798259,-0.148609671,-0.185632918,0.653419825,0.136083324,0.174037989,-0.486615712,-0.110589716,-0.256287519,-1.112302191,0.760901665,0.03091177,-1.272013865,0.065835879,-0.252607777,6
45,-0.012937701,0.577846275,0.836480348,-1.038742904,-1.252122375,-1.277802306,0.594448129,0.657755138,0.978595046,-0.669835796,-0.737110633,-1.13014979,-0.26188592,0.423538405,1.78373308,0.614191098,1.458547138,-0.626906298,-0.016919972,-0.126984275,-1.183483563,1
46,1.433040601,0.737744137,-0.95738874,2.139007245,2.345227922,2.286877457,-2.17945065,-2.300396092,-2.404379449,2.204386538,2.296569205,2.350154566,1.096840327,0.704340714,-1.443794913,-0.927970572,-0.726815642,1.753073701,0.645889198,1.618639626,2.038602466,5
47,-1.395495901,-1.168730375,0.957687719,-0.715259787,-0.378019995,-0.387262855,1.252549574,1.093291272,0.675020992,-1.168463544,-0.957947896,-0.388579801,0.364050363,-0.279516162,-0.643730081,0.64614307,-1.355948668,0.075569872,-0.486333963,-0.705970404,-1.570323748,7
50,0.760787531,0.245750715,2.15764069,0.744315337,1.044313086,1.128463911,-0.989857032,-1.243747157,-1.220441651,1.097164893,1.367238087,1.371353187,-1.431525688,-2.05921825,-1.353753703,-0.101733152,-1.527042019,-1.591366734,-0.141607858,-0.226730394,-0.752688371,6
52,-0.380774286,-0.393840735,0.606186343,-1.737754631,-1.84816242,-1.89802564,1.673639958,1.772760322,1.455734746,-1.339313027,-1.459912578,-0.982255291,0.912535923,1.317458411,1.208613088,0.467034966,0.983837882,0.801019824,-1.785258176,0.670810869,-0.124413236,5
53,0.760787531,0.528646932,-0.848302107,-0.968295861,-0.83837732,-0.792152474,0.452823644,0.383893746,0.71249356,-0.501421601,-0.422092607,-0.812102044,-0.366486606,-0.250095565,1.655846308,1.744979846,0.210808016,-1.347152135,1.712416071,0.394757146,0.36566838,8
54,-0.00025368,-0.000245997,1.57584531,0.812059707,0.756724582,0.754598218,-0.637458743,-0.623656401,-0.816037235,0.70040942,0.68281515,0.921256585,0.048275924,-0.059389115,-1.088487662,-1.062655309,-0.228288218,0.619354911,-1.537833737,0.236738227,0.638203219,6
